id,thedate,comp_name,comp_code,open,low,high,lastDone,chg,chgPercent,vol,buy,sell
1856,26-Feb-19,A50CHIN-C22: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),A50CHIN-C22,0.225,0.195,0.25,0.2,-0.025,-11.11,"55,377",0.190 / 100,0.200 / 500
1857,26-Feb-19,A50CHIN-C24: CW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),A50CHIN-C24,0.785,0.735,0.795,0.735,-0.065,-8.13,300,0.000 / 0,0.000 / 0
1858,26-Feb-19,A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),A50CHIN-C26,-,-,-,0.495,0,0,0,0.000 / 0,0.000 / 0
1859,26-Feb-19,A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),A50CHIN-C28,0.26,0.235,0.27,0.24,-0.03,-11.11,"31,694",0.000 / 0,0.000 / 0
1860,26-Feb-19,A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),A50CHIN-C30,0.35,0.31,0.37,0.315,-0.035,-10,"346,850",0.250 / 60,0.365 / 200
1861,26-Feb-19,A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),A50CHIN-C32,0.725,0.725,0.725,0.725,-0.025,-3.33,500,0.000 / 0,0.000 / 0
1862,26-Feb-19,A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),A50CHIN-C34,0.95,0.95,0.95,0.95,0.09,10.47,100,0.000 / 0,0.000 / 0
1863,26-Feb-19,A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),A50CHIN-C36,0.55,0.505,0.57,0.51,-0.06,-10.53,"41,738",0.000 / 0,0.000 / 0
1864,26-Feb-19,A50CHIN-H21: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),A50CHIN-H21,-,-,-,0.05,0,0,0,0.000 / 0,0.000 / 0
1865,26-Feb-19,A50CHIN-H23: PW ETF ISHARES FTSE A50 CHINA INDEX ETF (MACQ),A50CHIN-H23,-,-,-,0.015,0,0,0,0.000 / 0,0.010 / 450
1866,26-Feb-19,A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),A50CHIN-H25,-,-,-,0.035,0,0,0,"0.010 / 1,000",0.000 / 0
1867,26-Feb-19,A50CHIN-H27: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),A50CHIN-H27,0.09,0.085,0.1,0.095,0.01,11.76,"24,503",0.090 / 722,0.100 / 200
1868,26-Feb-19,ASTRAL ASIA BHD,AASIA,-,-,-,0.145,0,0,0,0.145 / 875,0.155 / 410
1869,26-Feb-19,AIRASIA X BERHAD,AAX,0.265,0.26,0.265,0.265,0.005,1.92,"69,458","0.260 / 60,598","0.265 / 56,458"
1870,26-Feb-19,AAX-C20: CW AIRASIA X BERHAD (RHB),AAX-C20,-,-,-,0.005,0,0,0,0.000 / 0,"0.005 / 11,500"
1871,26-Feb-19,AAX-C21: CW AIRASIA X BERHAD (MACQ),AAX-C21,-,-,-,0.005,0,0,0,0.000 / 0,0.000 / 0
1872,26-Feb-19,AIRASIA X BERHAD - WARRANTS  A  2015/2020,AAX-WA,0.055,0.055,0.06,0.06,0,0,"4,797","0.055 / 23,335","0.060 / 10,673"
1873,26-Feb-19,ABF MALAYSIA BOND INDEX FUND,ABFMY1,1.167,1.167,1.167,1.167,0.001,0.09,5,"1.162 / 1,000",1.167 / 995
1874,26-Feb-19,ABLEGROUP BERHAD,ABLEGRP,-,-,-,0.075,0,0,0,"0.070 / 12,150",0.075 / 190
1875,26-Feb-19,ALLIANCE BANK MALAYSIA BERHAD,ABMB,4.25,4.22,4.25,4.25,0,0,"17,789",4.240 / 429,"4.250 / 2,314"
1876,26-Feb-19,ABMB-CX: CW ALLIANCE BANK MALAYSIA BERHAD (RHB),ABMB-CX,-,-,-,0.005,0,0,0,0.000 / 0,0.000 / 0
1877,26-Feb-19,ABMB-CY: CW ALLIANCE BANK MALAYSIA BERHAD (MIBB),ABMB-CY,-,-,-,0.1,0,0,0,0.000 / 0,0.000 / 0
1878,26-Feb-19,ACME HOLDINGS BERHAD,ACME,-,-,-,0.23,0,0,0,0.250 / 100,0.300 / 47
1879,26-Feb-19,ACOUSTECH BHD,ACOSTEC,0.445,0.425,0.45,0.45,0,0,"19,472",0.440 / 375,0.445 / 150
1880,26-Feb-19,ADVANCECON HOLDINGS BERHAD,ADVCON,0.355,0.335,0.355,0.34,-0.015,-4.23,"9,269",0.335 / 699,0.340 / 997
1881,26-Feb-19,ADVENTA BHD,ADVENTA,-,-,-,0.37,0,0,0,0.360 / 100,0.370 / 102
1882,26-Feb-19,ADVANCED PACKAGING TECHNOLOGY,ADVPKG,1.93,1.92,1.93,1.92,-0.01,-0.52,80,1.780 / 40,2.000 / 80
1883,26-Feb-19,AE MULTI HOLDINGS BHD,AEM,0.12,0.115,0.12,0.115,-0.005,-4.17,"1,462","0.115 / 3,183",0.120 / 100
1884,26-Feb-19,AE MULTI HOLDINGS BERHAD-WARRANTS 2014/2019,AEM-WA,0.005,0.005,0.005,0.005,0,0,"1,500","0.005 / 16,500","0.010 / 35,022"
1885,26-Feb-19,AEMULUS HOLDINGS BERHAD,AEMULUS,0.25,0.245,0.255,0.245,-0.01,-3.92,"11,685","0.245 / 5,469","0.250 / 4,476"
1886,26-Feb-19,AEON CO. (M) BHD,AEON,1.59,1.57,1.6,1.58,-0.01,-0.63,"46,167","1.580 / 1,062",1.590 / 150
1887,26-Feb-19,AEON-CN: CW AEON CO. (M) BERHAD (MIBB),AEON-CN,-,-,-,0.015,0,0,0,0.000 / 0,0.000 / 0
