Date,Title,Score
12/21/17,CIMB encourages Malaysians to save to forward their ambitions¾,0
12/7/17,Robotics Reduce CIMB's turnaround time for banking tasks by up to¾90%,1
12/6/17,CIMB Foundation empowers youths to shape ASEAN's future,0
11/30/17,CIMB Foundation launches MOZEK to nurture diversity and inclusivity among students.,0
11/28/17,CIMB Group announces RM3.41 billion Net Profit for 9M17,1
11/23/17,"CIMB ASEAN Stock Challenge 2.0: six teams eye Tokyo and US$12,000 cash¾",0
11/23/17,CIMB is first bank to receive regulatory sandbox approval for e-KYC¾,1
11/23/17,ASEAN and Australian business must drive deeper engagement to capitalise on massive opportunities from the digital revolution¾,0
11/16/17,CIMB receives approval to operate a bank branch in the Philippines,1
11/15/17,CIMB Foundation to Nurture Cycling Champions with Junior Cycling Malaysia ¾,0
11/13/17,CIMB Heightens Security Measures To Safeguard Customersê Transactions,1
11/11/17,CIMB Group Pledges 1% of Profit Before Tax (PBT) to Strengthen Regional CSR,1
11/7/17,CIMB Announces Six-Month Repayment Relief for Customers and Staff Affected by Floods in Penang and Kedah,0
11/7/17,CIMB Appoints Dr. Donald Hanna as Group Chief Economist,0
11/5/17,CIMB Confirms All Branches in Penang and Kedah in Operation Tomorrow,0
10/30/17,CIMBês Flex4CSR Introduces One-Month Paid Leave for CSR Volunteers,0
10/13/17,Minister of International Trade and Industry and CIMB Co-Host Networking Lunch for Foreign Multinationals and Chambers of Commerce ¾,0
10/8/17,CIMB bags 15 prestigious regional awards,1
10/4/17,CIMB receives approval for closure of subsidiary in Middle East,1
10/1/17,World No. 3 Matsuyama joins starry field at next weekês CIMB Classic,0
10/1/17,CIMB-Principal Honours Top Private Retirement Scheme Partners,0
9/28/17,CIMB clinches Gold Award for Best Digital Experience at Customer Experience Asia Excellence Awards 2017,1
9/25/17,Thomas and Schauffele Get into Winning Form Ahead Of CIMB Classic,0
9/24/17,CIMB-Principal launches new CIMB Islamic Global Equity Fund to tap into global growth,1
9/21/17,Stellar line-up of global golf stars primed for CIMB Classic in October,0
9/18/17,CIMB ASEAN Stock Challenge 2.0 introduces mobile trading and predictive data analytics,0
8/28/17,CIMB Groupês 1H17 Net Profit Up 35.3% to RM2.28 billion,1
8/21/17,ASEAN Roundtable Series on¾–Deepening Capital Markets in ASEAN: Opportunities and Challenges”,0
8/16/17,CIMB Foundation supports 33 athletes representing Malaysia in the 2017 SEA Games and ASEAN Para Games,0
8/15/17,Two-time defending CIMB Classic champion and winner of the PGA Championship Justin Thomas set to defend title in 2017,0
