"","rsi","sma","lma","adx","macd","signal","Date","High","Low","Open","Close","Volume","yhat","us_china","trump","malaysia","Score","target_cls","class"
"34",60.5,5.1,5.1,51.3,0.1537,0.15,"2017-02-21",5.139999866,5.079999924,5.119999886,5.079999924,7434400,4.806146204,61.71428571,27.85714286,44.57142857,0,0,-1
"35",57.7,5.1,5.1,50.5,0.1324,0.1489,"2017-02-22",5.130000114,5.039999962,5.090000153,5.079999924,19755600,4.825353277,60.57142857,27.28571429,44.85714286,0,1,1
"36",57.3,5.1,5.1,48.9,0.1106,0.1465,"2017-02-23",5.099999905,5.070000172,5.090000153,5.090000153,8821800,4.851141399,59.42857143,26.71428571,45.14285714,0,0,-1
"37",58.6,5.1,5.1,47.4,0.0839,0.1407,"2017-02-24",5.110000134,5.059999943,5.079999924,5.079999924,11758700,4.868932561,58.28571429,26.14285714,45.42857143,0,0,-1
"38",52.7,5.1,5.1,46,0.0548,0.1305,"2017-02-27",5.110000134,4.940000057,5.070000172,4.940000057,8797100,4.877882537,57.28571429,24.85714286,45.57142857,0,1,1
"39",23.5,5.1,5.1,43,0.0333,0.117,"2017-02-28",5.010000229,4.909999847,4.949999809,4.96999979,19316000,4.905993431,58.57142857,24.71428571,45.14285714,1,1,1
"40",29.3,5,5.1,40.5,0.0229,0.1019,"2017-03-01",5.110000134,5.010000229,5.039999962,5.090000153,19179100,4.949111621,59.85714286,24.57142857,44.71428571,1,1,1
"41",51.8,5,5,38.4,0.0262,0.0868,"2017-03-02",5.269999981,5.110000134,5.110000134,5.199999809,19108700,4.9916596,61.14285714,24.42857143,44.28571429,0,1,1
"42",64,5.1,5,37.9,0.0331,0.0723,"2017-03-03",5.25,5.130000114,5.21999979,5.21999979,17092100,5.021310483,62.42857143,24.28571429,43.85714286,0,1,1
"43",66.4,5.1,5.1,37.5,0.0652,0.0625,"2017-03-06",5.5,5.210000038,5.230000019,5.460000038,29294400,5.082846963,64.57142857,24.42857143,42.42857143,0,0,-1
"44",80.8,5.2,5.1,38.6,0.0992,0.0588,"2017-03-07",5.480000019,5.389999866,5.46999979,5.449999809,21801600,5.118468414,64.14285714,24.85714286,41.85714286,0,0,-1
"45",80.7,5.3,5.2,39.5,0.1472,0.0629,"2017-03-08",5.440000057,5.360000134,5.389999866,5.369999886,13200500,5.15265134,63.71428571,25.28571429,41.28571429,0,1,1
"46",70.6,5.3,5.3,40,0.1912,0.0748,"2017-03-09",5.429999828,5.349999905,5.360000134,5.380000114,11297800,5.176484774,63.28571429,25.71428571,40.71428571,1,0,-1
"47",71.5,5.4,5.3,40.3,0.2158,0.0927,"2017-03-10",5.409999847,5.309999943,5.400000095,5.369999886,17860300,5.191454111,62.85714286,26.14285714,40.14285714,0,1,1
"48",70.3,5.4,5.4,40,0.227,0.1142,"2017-03-13",5.420000076,5.369999886,5.369999886,5.400000095,16426700,5.268942962,60.28571429,26.28571429,38.85714286,0,1,1
"49",72.7,5.4,5.4,39.8,0.2383,0.1381,"2017-03-14",5.46999979,5.369999886,5.400000095,5.420000076,21192000,5.300399786,58.57142857,25.57142857,38.71428571,0,0,-1
"50",74.5,5.4,5.4,39.9,0.209,0.1584,"2017-03-15",5.400000095,5.349999905,5.400000095,5.360000134,9596400,5.318640481,56.85714286,24.85714286,38.57142857,0,1,1
"51",64.1,5.4,5.4,39.7,0.2052,0.1776,"2017-03-16",5.590000153,5.400000095,5.400000095,5.590000153,49447300,5.323903073,55.14285714,24.14285714,38.42857143,0,1,1
"52",78.4,5.4,5.4,40.6,0.2202,0.1948,"2017-03-17",5.769999981,5.579999924,5.590000153,5.650000095,54988200,5.325893602,53.42857143,23.42857143,38.28571429,0,0,-1
"53",81.5,5.5,5.4,42.1,0.2368,0.2101,"2017-03-20",5.829999924,5.619999886,5.670000076,5.650000095,30954400,5.360394887,53.71428571,22,40,0,0,-1
"54",81.1,5.5,5.5,43.7,0.2584,0.2224,"2017-03-21",5.730000019,5.619999886,5.659999847,5.650000095,15961200,5.36343047,57.42857143,22,42,0,0,-1
"55",80.6,5.6,5.5,45.2,0.2704,0.2312,"2017-03-22",5.630000114,5.550000191,5.599999905,5.599999905,22453200,5.36000671,61.14285714,22,44,0,0,-1
"56",70.2,5.6,5.6,45.6,0.2796,0.2383,"2017-03-23",5.699999809,5.599999905,5.630000114,5.599999905,24020000,5.36090153,79.42857143,21.71428571,51.57142857,0,1,1
"57",69.4,5.6,5.6,46.3,0.2963,0.246,"2017-03-24",5.659999847,5.610000134,5.650000095,5.619999886,11266800,5.374367511,82.85714286,21.42857143,51.14285714,0,0,-1
"58",70.6,5.6,5.6,46.9,0.2798,0.2506,"2017-03-27",5.71999979,5.619999886,5.639999866,5.619999886,15788500,5.415832123,86.28571429,21.14285714,50.71428571,0,0,-1
"59",71.7,5.6,5.6,47.7,0.2489,0.2551,"2017-03-28",5.630000114,5.550000191,5.610000134,5.559999943,13847000,5.401594861,89.71428571,20.85714286,50.28571429,0,1,1
"60",57.2,5.6,5.6,47.5,0.2197,0.2567,"2017-03-29",5.610000134,5.559999943,5.570000172,5.579999924,16857800,5.38600706,93.14285714,20.57142857,49.85714286,0,1,1
"61",59,5.6,5.6,47.3,0.1915,0.2535,"2017-04-03",5.630000114,5.519999981,5.559999943,5.590000153,14029300,5.422084592,98.28571429,19.57142857,47.28571429,0,0,-1
"62",59.2,5.6,5.6,46.6,0.1687,0.2459,"2017-04-04",5.610000134,5.550000191,5.590000153,5.570000172,26709600,5.40752708,96.57142857,19.14285714,45.57142857,0,0,-1
"63",51.5,5.6,5.6,45.9,0.1446,0.2333,"2017-04-05",5.579999924,5.550000191,5.570000172,5.559999943,29113900,5.397718528,94.85714286,18.71428571,43.85714286,0,0,-1
"64",45.6,5.6,5.6,45.2,0.1048,0.2149,"2017-04-06",5.570000172,5.480000019,5.559999943,5.489999771,22467000,5.398423063,93.14285714,18.28571429,42.14285714,0,0,-1
"65",27.2,5.6,5.6,43.6,0.0631,0.1908,"2017-04-07",5.519999981,5.429999828,5.480000019,5.460000038,19226800,5.403610068,91.42857143,17.85714286,40.42857143,0,1,1
"66",16.4,5.5,5.6,41.4,0.0357,0.1619,"2017-04-10",5.5,5.449999809,5.460000038,5.46999979,10645500,5.378118283,84.57142857,17,37.14285714,0,0,-1
"67",18.8,5.5,5.5,39.4,0.0085,0.1317,"2017-04-11",5.5,5.420000076,5.480000019,5.460000038,8374500,5.373213719,81.14285714,17,37.28571429,0,1,1
"68",17.6,5.5,5.5,37.1,-0.0182,0.102,"2017-04-12",5.46999979,5.429999828,5.460000038,5.46999979,9352800,5.381292902,77.71428571,17,37.42857143,0,0,-1
"69",22.5,5.5,5.5,35,-0.0423,0.0729,"2017-04-13",5.46999979,5.329999924,5.46999979,5.380000114,24831200,5.39517075,74.28571429,17,37.57142857,0,0,-1
"70",13.7,5.4,5.5,33.2,-0.0653,0.0444,"2017-04-14",5.400000095,5.320000172,5.380000114,5.380000114,8596800,5.402962765,70.85714286,17,37.71428571,0,1,1
"71",13,5.4,5.4,31.6,-0.0741,0.0174,"2017-04-17",5.480000019,5.369999886,5.369999886,5.449999809,8019100,5.386712286,62.28571429,16.85714286,37.42857143,0,1,1
"72",36.9,5.4,5.4,29.6,-0.0751,-0.007,"2017-04-18",5.5,5.460000038,5.5,5.480000019,11131900,5.394190839,60.57142857,16.71428571,36.85714286,0,0,-1
"73",45.4,5.4,5.4,27.9,-0.0779,-0.0273,"2017-04-19",5.5,5.449999809,5.46999979,5.480000019,4937700,5.407721946,58.85714286,16.57142857,36.28571429,0,1,1
"74",47,5.4,5.4,26.2,-0.076,-0.0428,"2017-04-20",5.53000021,5.460000038,5.460000038,5.5,9097700,5.418147788,57.14285714,16.42857143,35.71428571,0,1,1
"75",53.1,5.5,5.4,25,-0.0634,-0.0538,"2017-04-21",5.650000095,5.53000021,5.53000021,5.610000134,12234500,5.42259465,55.42857143,16.28571429,35.14285714,0,1,1
"76",72,5.5,5.5,25.1,-0.038,-0.0589,"2017-04-24",5.630000114,5.630000114,5.630000114,5.630000114,0,5.479982691,52.85714286,16.85714286,34.28571429,0,1,1
"77",76.4,5.5,5.5,25.2,0.0087,-0.0559,"2017-04-25",5.809999943,5.650000095,5.71999979,5.75,23817500,5.51822923,53.28571429,17.28571429,34.42857143,0,0,-1
"78",86.1,5.6,5.5,26.6,0.0477,-0.0459,"2017-04-26",5.789999962,5.739999771,5.769999981,5.75,18217900,5.546600522,53.71428571,17.71428571,34.57142857,0,0,-1
"79",88.7,5.6,5.6,27.9,0.0824,-0.0295,"2017-04-27",5.820000172,5.75,5.789999962,5.75,15391200,5.558511492,54.14285714,18.14285714,34.71428571,1,0,-1
"80",90.5,5.7,5.6,29.3,0.1161,-0.0084,"2017-04-28",5.800000191,5.739999771,5.78000021,5.739999771,14800400,5.562136229,53.57142857,20,35.85714286,0,1,1
"81",88.5,5.7,5.7,30.4,0.1596,0.0177,"2017-05-02",5.940000057,5.75,5.800000191,5.880000114,21615500,5.68235469,52.14285714,21,36.71428571,0,0,-1
"82",93.9,5.8,5.7,32.2,0.1801,0.0464,"2017-05-03",5.960000038,5.78000021,5.909999847,5.809999943,9946600,5.705337452,49.28571429,23,38.42857143,0,0,-1
"83",78.2,5.8,5.8,33.9,0.1964,0.0766,"2017-05-04",5.840000153,5.710000038,5.809999943,5.789999962,16082200,5.714069374,47.85714286,24,39.28571429,0,1,1
"84",74.4,5.8,5.8,34.5,0.1977,0.1056,"2017-05-05",5.840000153,5.739999771,5.78000021,5.809999943,16025700,5.720334012,44.42857143,25.85714286,40.42857143,0,1,1
"85",74.7,5.8,5.8,35,0.1987,0.1319,"2017-05-08",5.849999905,5.809999943,5.820000172,5.829999924,14414400,5.776114616,43.85714286,25.71428571,39.85714286,0,1,1
"86",74.9,5.8,5.8,35.5,0.2026,0.1535,"2017-05-09",5.880000114,5.840000153,5.840000153,5.849999905,17008100,5.78498289,43.28571429,25.57142857,39.28571429,0,1,1
"87",75.6,5.8,5.8,36.2,0.2146,0.172,"2017-05-11",5.980000019,5.900000095,5.929999828,5.909999847,25853800,5.787216974,42.71428571,25.42857143,38.71428571,0,1,1
"88",79.4,5.8,5.8,37.4,0.21,0.1862,"2017-05-12",5.960000038,5.909999847,5.929999828,5.949999809,19914800,5.800515128,42.14285714,25.28571429,38.14285714,0,0,-1
"89",81.4,5.9,5.8,38.6,0.214,0.1971,"2017-05-15",5.96999979,5.920000076,5.949999809,5.940000057,7276600,5.856453624,40.57142857,25,37.71428571,0,1,1
"90",77.8,5.9,5.9,39.7,0.2212,0.2039,"2017-05-16",5.989999771,5.920000076,5.960000038,5.96999979,16644000,5.857447276,40.14285714,25,38.42857143,0,0,-1
"91",80,5.9,5.9,40.8,0.2224,0.2086,"2017-05-17",5.96999979,5.929999828,5.96999979,5.949999809,7486500,5.858367064,39.71428571,25,39.14285714,0,0,-1
