"","rsi","sma","lma","adx","macd","signal","us_china","malaysia","Score","class"
"34",60.5,5.1,5.1,51.3,0.1537,0.15,61.71428571,44.57142857,0,"Down"
"35",57.7,5.1,5.1,50.5,0.1324,0.1489,60.57142857,44.85714286,0,"Up"
"36",57.3,5.1,5.1,48.9,0.1106,0.1465,59.42857143,45.14285714,0,"Down"
"37",58.6,5.1,5.1,47.4,0.0839,0.1407,58.28571429,45.42857143,0,"Down"
"38",52.7,5.1,5.1,46,0.0548,0.1305,57.28571429,45.57142857,0,"Up"
"39",23.5,5.1,5.1,43,0.0333,0.117,58.57142857,45.14285714,1,"Up"
"40",29.3,5,5.1,40.5,0.0229,0.1019,59.85714286,44.71428571,1,"Up"
"41",51.8,5,5,38.4,0.0262,0.0868,61.14285714,44.28571429,0,"Up"
"42",64,5.1,5,37.9,0.0331,0.0723,62.42857143,43.85714286,0,"Up"
"43",66.4,5.1,5.1,37.5,0.0652,0.0625,64.57142857,42.42857143,0,"Down"
"44",80.8,5.2,5.1,38.6,0.0992,0.0588,64.14285714,41.85714286,0,"Down"
"45",80.7,5.3,5.2,39.5,0.1472,0.0629,63.71428571,41.28571429,0,"Up"
"46",70.6,5.3,5.3,40,0.1912,0.0748,63.28571429,40.71428571,1,"Down"
"47",71.5,5.4,5.3,40.3,0.2158,0.0927,62.85714286,40.14285714,0,"Up"
"48",70.3,5.4,5.4,40,0.227,0.1142,60.28571429,38.85714286,0,"Up"
"49",72.7,5.4,5.4,39.8,0.2383,0.1381,58.57142857,38.71428571,0,"Down"
"50",74.5,5.4,5.4,39.9,0.209,0.1584,56.85714286,38.57142857,0,"Up"
"51",64.1,5.4,5.4,39.7,0.2052,0.1776,55.14285714,38.42857143,0,"Up"
"52",78.4,5.4,5.4,40.6,0.2202,0.1948,53.42857143,38.28571429,0,"Down"
"53",81.5,5.5,5.4,42.1,0.2368,0.2101,53.71428571,40,0,"Down"
"54",81.1,5.5,5.5,43.7,0.2584,0.2224,57.42857143,42,0,"Down"
"55",80.6,5.6,5.5,45.2,0.2704,0.2312,61.14285714,44,0,"Down"
"56",70.2,5.6,5.6,45.6,0.2796,0.2383,79.42857143,51.57142857,0,"Up"
"57",69.4,5.6,5.6,46.3,0.2963,0.246,82.85714286,51.14285714,0,"Down"
"58",70.6,5.6,5.6,46.9,0.2798,0.2506,86.28571429,50.71428571,0,"Down"
"59",71.7,5.6,5.6,47.7,0.2489,0.2551,89.71428571,50.28571429,0,"Up"
"60",57.2,5.6,5.6,47.5,0.2197,0.2567,93.14285714,49.85714286,0,"Up"
"61",59,5.6,5.6,47.3,0.1915,0.2535,98.28571429,47.28571429,0,"Down"
"62",59.2,5.6,5.6,46.6,0.1687,0.2459,96.57142857,45.57142857,0,"Down"
"63",51.5,5.6,5.6,45.9,0.1446,0.2333,94.85714286,43.85714286,0,"Down"
"64",45.6,5.6,5.6,45.2,0.1048,0.2149,93.14285714,42.14285714,0,"Down"
"65",27.2,5.6,5.6,43.6,0.0631,0.1908,91.42857143,40.42857143,0,"Up"
"66",16.4,5.5,5.6,41.4,0.0357,0.1619,84.57142857,37.14285714,0,"Down"
"67",18.8,5.5,5.5,39.4,0.0085,0.1317,81.14285714,37.28571429,0,"Up"
"68",17.6,5.5,5.5,37.1,-0.0182,0.102,77.71428571,37.42857143,0,"Down"
"69",22.5,5.5,5.5,35,-0.0423,0.0729,74.28571429,37.57142857,0,"Down"
"70",13.7,5.4,5.5,33.2,-0.0653,0.0444,70.85714286,37.71428571,0,"Up"
"71",13,5.4,5.4,31.6,-0.0741,0.0174,62.28571429,37.42857143,0,"Up"
"72",36.9,5.4,5.4,29.6,-0.0751,-0.007,60.57142857,36.85714286,0,"Down"
"73",45.4,5.4,5.4,27.9,-0.0779,-0.0273,58.85714286,36.28571429,0,"Up"
"74",47,5.4,5.4,26.2,-0.076,-0.0428,57.14285714,35.71428571,0,"Up"
"75",53.1,5.5,5.4,25,-0.0634,-0.0538,55.42857143,35.14285714,0,"Up"
"76",72,5.5,5.5,25.1,-0.038,-0.0589,52.85714286,34.28571429,0,"Up"
"77",76.4,5.5,5.5,25.2,0.0087,-0.0559,53.28571429,34.42857143,0,"Down"
"78",86.1,5.6,5.5,26.6,0.0477,-0.0459,53.71428571,34.57142857,0,"Down"
"79",88.7,5.6,5.6,27.9,0.0824,-0.0295,54.14285714,34.71428571,1,"Down"
"80",90.5,5.7,5.6,29.3,0.1161,-0.0084,53.57142857,35.85714286,0,"Up"
"81",88.5,5.7,5.7,30.4,0.1596,0.0177,52.14285714,36.71428571,0,"Down"
"82",93.9,5.8,5.7,32.2,0.1801,0.0464,49.28571429,38.42857143,0,"Down"
"83",78.2,5.8,5.8,33.9,0.1964,0.0766,47.85714286,39.28571429,0,"Up"
"84",74.4,5.8,5.8,34.5,0.1977,0.1056,44.42857143,40.42857143,0,"Up"
"85",74.7,5.8,5.8,35,0.1987,0.1319,43.85714286,39.85714286,0,"Up"
"86",74.9,5.8,5.8,35.5,0.2026,0.1535,43.28571429,39.28571429,0,"Up"
"87",75.6,5.8,5.8,36.2,0.2146,0.172,42.71428571,38.71428571,0,"Up"
"88",79.4,5.8,5.8,37.4,0.21,0.1862,42.14285714,38.14285714,0,"Down"
"89",81.4,5.9,5.8,38.6,0.214,0.1971,40.57142857,37.71428571,0,"Up"
"90",77.8,5.9,5.9,39.7,0.2212,0.2039,40.14285714,38.42857143,0,"Down"
"91",80,5.9,5.9,40.8,0.2224,0.2086,39.71428571,39.14285714,0,"Down"
"92",73.3,5.9,5.9,41.9,0.22,0.2112,39.28571429,39.85714286,0,"Up"
"93",70.2,5.9,5.9,42.3,0.2165,0.2133,38.85714286,40.57142857,0,"Down"
"94",73.1,6,5.9,42.7,0.2037,0.2139,41.71428571,41.71428571,1,"Up"
"95",69.3,6,6,43.2,0.186,0.212,49.14285714,41.14285714,0,"Up"
"96",75.6,6,6,42.9,0.1843,0.2087,52.85714286,40.85714286,1,"Up"
"97",88.2,6,6,44.1,0.2008,0.2076,56.57142857,40.57142857,0,"Up"
"98",93.4,6.1,6,45.9,0.2245,0.2088,61.42857143,39.42857143,0,"Down"
"99",94,6.1,6.1,47.7,0.2486,0.2119,58.85714286,38.85714286,0,"Up"
"100",91.8,6.2,6.1,49.3,0.2768,0.2179,56.28571429,38.28571429,0,"Up"
"101",93.2,6.3,6.2,50.9,0.3212,0.2292,53.71428571,37.71428571,0,"Up"
"102",94.8,6.4,6.3,52.7,0.372,0.2464,51.14285714,37.14285714,1,"Up"
"103",96.2,6.4,6.4,54.7,0.4221,0.2707,47.71428571,38.28571429,0,"Down"
"104",97.4,6.5,6.4,56.8,0.4441,0.2994,48.57142857,39.42857143,1,"Down"
"105",96,6.6,6.5,58.8,0.4586,0.3299,49.42857143,40.57142857,0,"Down"
"106",90.9,6.7,6.6,60.6,0.4699,0.3598,50.28571429,41.71428571,0,"Down"
"107",83.5,6.7,6.7,61.5,0.474,0.3875,51.14285714,42.71428571,0,"Down"
